player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Tay Martin,61811,WR,WAS,3,0,32,60.0,100.0,9,69.2,9,59.9,0,100.0,13,13,59.8,100.0,4,30.8,4
Tyjae Spears,97195,HB,TEN,13,0,31,60.0,6.1,2,15.4,33,35.1,0,15.1,13,86,59.4,18.4,9,69.2,49
Kendre Miller,123091,HB,NO,7,0,20,50.1,30.0,6,46.2,20,51.7,0,22.0,13,59,60.0,3.1,1,7.7,32
Tank Bigsby,123974,HB,PHI,11,0,24,60.0,3.2,1,8.3,31,61.1,0,15.8,12,76,60.0,8.8,3,25.0,34
Khyiris Tonga,52000,DI,NE,5,0,19,56.6,100.0,6,50.0,6,72.2,0,100.0,12,12,76.2,100.0,4,33.3,4
Jackson Slater,147796,G,TEN,1,0,31,57.0,100.0,8,66.7,8,56.0,0,100.0,12,12,58.0,100.0,4,33.3,4
David Montgomery,45719,HB,DET,17,0,11,60.0,1.7,1,8.3,58,58.9,0,6.9,12,175,59.2,3.7,4,33.3,109
Deven Thompkins,84480,WR,ATL,4,0,2,60.0,100.0,1,8.3,1,43.7,1,92.3,12,13,39.8,100.0,7,58.3,7
Britain Covey,32933,WR,PHI,3,0,24,60.0,100.0,3,25.0,3,60.5,0,100.0,12,12,60.6,100.0,8,66.7,8
Zach Wilson,82096,QB,MIA,3,0,17,60.0,100.0,4,33.3,4,60.0,0,85.7,12,14,60.0,100.0,8,66.7,8
AJ Dillon,57165,HB,PHI,7,0,24,59.7,25.0,2,16.7,8,60.0,0,52.2,12,23,60.0,16.7,1,8.3,6
Simi Fehoko,84424,WR,ARZ,4,0,1,61.1,100.0,8,66.7,8,61.1,0,100.0,12,12,60.0,100.0,4,33.3,4
Corey Bullock,108855,C,BLT,5,0,3,48.0,100.0,3,25.0,3,58.0,0,100.0,12,12,67.6,100.0,5,41.7,5
Sean Tucker,123056,HB,TB,14,0,30,59.9,3.5,2,18.2,57,60.4,0,10.8,11,102,60.0,2.7,1,9.1,37
Bucky Irving,144970,HB,TB,10,0,30,60.0,2.2,2,18.2,91,60.3,0,6.0,11,184,60.0,2.5,2,18.2,81
Marcus Bryant,121917,T,NE,3,0,19,56.3,100.0,4,36.4,4,54.1,0,100.0,11,11,,,0,0.0,0
Rasheen Ali,121717,HB,BLT,7,0,3,,0.0,0,0.0,2,70.8,0,61.1,11,18,60.0,16.7,1,9.1,6
Kyle Allen,26152,QB,DET,3,0,11,60.0,100.0,3,27.3,3,60.0,0,78.6,11,14,60.0,100.0,8,72.7,8
Jaylen Wright,146934,HB,MIA,10,0,17,,0.0,0,0.0,30,60.0,0,13.3,11,83,,0.0,0,0.0,41
Brandon Crenshaw-Dickson,101241,T,TEN,2,0,31,70.0,100.0,9,81.8,9,69.7,0,100.0,11,11,60.0,100.0,1,9.1,1
Jaleel McLaughlin,138346,HB,DEN,8,0,10,,0.0,0,0.0,16,60.1,0,22.9,11,48,60.0,4.8,1,9.1,21
Malik Turner,48078,WR,SF,3,0,28,60.3,100.0,4,36.4,4,58.3,0,100.0,11,11,60.2,100.0,3,27.3,3
Hayden Conner,144723,G,ARZ,3,0,1,47.1,100.0,7,63.6,7,62.9,0,100.0,11,11,78.1,100.0,4,36.4,4
Dalen Cambre,102933,WR,NYG,4,0,21,58.5,100.0,3,30.0,3,60.1,0,100.0,10,10,60.0,100.0,3,30.0,3
Trey Benson,131705,HB,ARZ,4,0,1,57.8,16.7,4,40.0,24,57.9,0,25.0,10,40,60.0,16.7,2,20.0,12
E.J. Jenkins,109834,TE,PHI,2,0,24,59.4,100.0,1,10.0,1,56.9,0,100.0,10,10,57.8,100.0,4,40.0,4
Braelon Allen,145159,HB,NYJ,4,0,22,68.5,40.0,2,20.0,5,69.1,0,33.3,10,30,58.7,28.6,6,60.0,21
Jordan Watkins,122730,WR,SF,4,0,28,,,0,0.0,0,60.3,0,100.0,10,10,59.8,100.0,7,70.0,7
Xavier Newman,58525,G,NYJ,3,0,22,48.8,100.0,4,40.0,4,53.2,0,100.0,10,10,63.5,100.0,5,50.0,5
Jalen Ramsey,10639,S,PIT,6,1,25,,,0,0.0,0,60.0,3,100.0,10,10,,,0,0.0,0
Jaret Patterson,77745,HB,LAC,6,0,27,59.9,4.0,1,11.1,25,40.9,0,17.6,9,51,60.0,5.6,1,11.1,18
Jimmy Garoppolo,8697,QB,LA,3,0,26,60.0,100.0,7,77.8,7,60.0,0,50.0,9,18,60.0,100.0,2,22.2,2
Nick Chubb,45783,HB,HST,15,0,13,,0.0,0,0.0,70,60.0,0,6.5,9,139,,0.0,0,0.0,57
Shane Buechele,12659,QB,KC,1,0,16,60.0,100.0,4,44.4,4,60.0,0,100.0,9,9,60.0,100.0,5,55.6,5
Brandon Walton,41533,G,CAR,2,0,5,78.0,100.0,3,33.3,3,78.6,0,100.0,9,9,66.1,100.0,6,66.7,6
